Application No.,First Choice Program
2026-02083,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02135,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02172,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02210,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02304,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02319,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02342,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02474,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02898,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02935,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02937,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03122,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03154,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03192,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03282,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03589,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04143,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04299,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04457,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04645,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05103,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05144,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05192,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05245,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05760,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05886,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06234,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06258,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06749,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06790,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06817,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06831,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-07236,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-07539,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-07711,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-08517,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-08906,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09093,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09443,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09874,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09973,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-10183,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-10335,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-10885,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-00020,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00031,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00047,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00106,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00248,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00265,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00322,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00324,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00444,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00464,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00509,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00565,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00572,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00669,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00697,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00788,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00917,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00956,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01075,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01103,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01114,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01133,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01241,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01569,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01609,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01792,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01807,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01855,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01891,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-02075,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-02122,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-02136,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-02644,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-02663,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-02716,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03190,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03249,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03401,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03445,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03508,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03684,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03729,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-03972,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-04033,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-04068,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-04160,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-04266,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
